value_a,value_b,layer,cosine
authority,collective_welfare,16,0.22494
authority,collective_welfare,17,0.247035
authority,collective_welfare,18,0.233692
authority,collective_welfare,19,0.278523
authority,collective_welfare,20,0.29928
authority,collective_welfare,21,0.336966
authority,collective_welfare,22,0.3139
authority,collective_welfare,23,0.326895
authority,collective_welfare,24,0.3247
authority,collective_welfare,25,0.328338
authority,collective_welfare,26,0.31896
authority,collective_welfare,27,0.293927
authority,collective_welfare,28,0.2822
authority,collective_welfare,29,0.229052
authority,collective_welfare,30,0.249485
authority,collective_welfare,31,0.320047
authority,desert,0,0.769399
authority,desert,1,0.71987
authority,desert,2,0.697522
authority,desert,3,0.575399
authority,desert,4,0.496148
authority,desert,5,0.491753
authority,desert,6,0.420356
authority,desert,7,0.365357
authority,desert,8,0.290949
authority,desert,9,0.203664
authority,desert,10,0.220172
authority,desert,11,0.226957
authority,desert,12,0.219034
authority,desert,13,0.255059
authority,desert,14,0.224113
authority,desert,15,0.203
authority,desert,16,0.233945
authority,desert,17,0.247402
authority,desert,18,0.21811
authority,desert,19,0.233798
authority,desert,20,0.244982
authority,desert,21,0.248333
authority,desert,22,0.219063
authority,desert,23,0.217585
authority,desert,24,0.193739
authority,desert,25,0.223067
authority,desert,26,0.236098
authority,desert,27,0.226074
authority,desert,28,0.242355
authority,desert,29,0.233718
authority,desert,30,0.232266
authority,desert,31,0.221062
authority,fairness,0,0.839444
authority,fairness,1,0.781172
authority,fairness,2,0.755259
authority,fairness,3,0.59777
authority,fairness,4,0.535276
authority,fairness,5,0.525185
authority,fairness,6,0.484177
authority,fairness,7,0.422069
authority,fairness,8,0.406323
authority,fairness,9,0.371984
authority,fairness,10,0.315298
authority,fairness,11,0.306461
authority,fairness,12,0.286133
authority,fairness,13,0.316666
authority,fairness,14,0.366043
authority,fairness,15,0.335352
authority,fairness,16,0.331142
authority,fairness,17,0.317672
authority,fairness,18,0.277196
authority,fairness,19,0.30553
authority,fairness,20,0.290956
authority,fairness,21,0.324318
authority,fairness,22,0.275676
authority,fairness,23,0.282404
authority,fairness,24,0.274758
authority,fairness,25,0.252251
authority,fairness,26,0.240522
authority,fairness,27,0.227399
authority,fairness,28,0.228524
authority,fairness,29,0.200324
authority,fairness,30,0.203321
authority,fairness,31,0.245254
authority,harm_avoidance,0,0.817311
authority,harm_avoidance,1,0.766961
authority,harm_avoidance,2,0.766592
authority,harm_avoidance,3,0.62652
authority,harm_avoidance,4,0.579817
authority,harm_avoidance,5,0.579591
authority,harm_avoidance,6,0.522114
authority,harm_avoidance,7,0.496863
authority,harm_avoidance,8,0.412955
authority,harm_avoidance,9,0.33592
authority,harm_avoidance,10,0.242109
authority,harm_avoidance,11,0.231018
authority,harm_avoidance,12,0.211719
authority,harm_avoidance,13,0.259446
authority,harm_avoidance,14,0.311259
authority,harm_avoidance,15,0.314766
authority,harm_avoidance,16,0.305327
authority,harm_avoidance,17,0.367582
authority,harm_avoidance,18,0.316322
authority,harm_avoidance,19,0.347334
authority,harm_avoidance,20,0.37007
authority,harm_avoidance,21,0.366074
authority,harm_avoidance,22,0.334988
authority,harm_avoidance,23,0.317284
authority,harm_avoidance,24,0.326781
authority,harm_avoidance,25,0.352861
authority,harm_avoidance,26,0.357586
authority,harm_avoidance,27,0.336639
authority,harm_avoidance,28,0.340943
authority,harm_avoidance,29,0.344396
authority,harm_avoidance,30,0.317787
authority,harm_avoidance,31,0.254809
authority,honesty,0,0.818244
authority,honesty,1,0.794478
authority,honesty,2,0.772066
authority,honesty,3,0.65535
authority,honesty,4,0.593389
authority,honesty,5,0.591951
authority,honesty,6,0.559393
authority,honesty,7,0.496628
authority,honesty,8,0.406431
authority,honesty,9,0.357407
authority,honesty,10,0.273034
authority,honesty,11,0.295135
authority,honesty,12,0.247683
authority,honesty,13,0.308242
authority,honesty,14,0.454602
authority,honesty,15,0.379349
authority,honesty,16,0.342472
authority,honesty,17,0.392769
authority,honesty,18,0.326969
authority,honesty,19,0.343505
authority,honesty,20,0.33733
authority,honesty,21,0.367015
authority,honesty,22,0.348525
authority,honesty,23,0.340552
authority,honesty,24,0.373434
authority,honesty,25,0.388615
authority,honesty,26,0.40338
authority,honesty,27,0.390773
authority,honesty,28,0.408062
authority,honesty,29,0.418299
authority,honesty,30,0.413918
authority,honesty,31,0.45934
authority,impartiality,0,0.739958
authority,impartiality,1,0.690874
authority,impartiality,2,0.645704
authority,impartiality,3,0.48717
authority,impartiality,4,0.461106
authority,impartiality,5,0.505021
authority,impartiality,6,0.46741
authority,impartiality,7,0.463244
authority,impartiality,8,0.331612
authority,impartiality,9,0.294746
authority,impartiality,10,0.203649
authority,impartiality,11,0.135125
authority,impartiality,12,0.0296
authority,impartiality,13,0.080403
authority,impartiality,14,0.112178
authority,impartiality,15,0.153315
authority,impartiality,16,0.165349
authority,impartiality,17,0.262337
authority,impartiality,18,0.261641
authority,impartiality,19,0.261439
authority,impartiality,20,0.264837
authority,impartiality,21,0.292919
authority,impartiality,22,0.279295
authority,impartiality,23,0.278038
authority,impartiality,24,0.321541
authority,impartiality,25,0.303328
authority,impartiality,26,0.305258
authority,impartiality,27,0.305118
authority,impartiality,28,0.322056
authority,impartiality,29,0.333628
authority,impartiality,30,0.287189
authority,impartiality,31,0.240266
authority,integrity,0,0.736684
authority,integrity,1,0.660241
authority,integrity,2,0.627386
authority,integrity,3,0.517391
authority,integrity,4,0.522276
authority,integrity,5,0.560643
authority,integrity,6,0.515747
authority,integrity,7,0.465491
authority,integrity,8,0.379476
authority,integrity,9,0.336723
authority,integrity,10,0.308859
authority,integrity,11,0.285413
authority,integrity,12,0.207222
authority,integrity,13,0.225384
authority,integrity,14,0.25873
authority,integrity,15,0.261427
authority,integrity,16,0.221496
authority,integrity,17,0.189908
authority,integrity,18,0.168535
authority,integrity,19,0.180989
authority,integrity,20,0.177108
authority,integrity,21,0.196228
authority,integrity,22,0.163826
authority,integrity,23,0.157582
authority,integrity,24,0.172452
authority,integrity,25,0.180508
authority,integrity,26,0.171109
authority,integrity,27,0.168749
authority,integrity,28,0.206071
authority,integrity,29,0.215798
authority,integrity,30,0.215179
authority,integrity,31,0.217605
authority,kindness,0,0.803169
authority,kindness,1,0.746329
authority,kindness,2,0.735486
authority,kindness,3,0.564912
authority,kindness,4,0.521017
authority,kindness,5,0.539836
authority,kindness,6,0.522802
authority,kindness,7,0.497783
authority,kindness,8,0.458219
authority,kindness,9,0.371179
authority,kindness,10,0.278096
authority,kindness,11,0.255125
authority,kindness,12,0.200163
authority,kindness,13,0.175054
authority,kindness,14,0.208136
authority,kindness,15,0.281547
authority,kindness,16,0.254897
authority,kindness,17,0.279079
authority,kindness,18,0.270432
authority,kindness,19,0.263619
authority,kindness,20,0.255969
authority,kindness,21,0.282138
authority,kindness,22,0.253298
authority,kindness,23,0.235044
authority,kindness,24,0.21909
authority,kindness,25,0.215594
authority,kindness,26,0.198516
authority,kindness,27,0.208544
authority,kindness,28,0.21263
authority,kindness,29,0.222418
authority,kindness,30,0.187377
authority,kindness,31,0.17021
authority,loyalty,0,0.838367
authority,loyalty,1,0.813273
authority,loyalty,2,0.80527
authority,loyalty,3,0.682731
authority,loyalty,4,0.639591
authority,loyalty,5,0.628575
authority,loyalty,6,0.558147
authority,loyalty,7,0.484777
authority,loyalty,8,0.455977
authority,loyalty,9,0.459614
authority,loyalty,10,0.463184
authority,loyalty,11,0.498303
authority,loyalty,12,0.453965
authority,loyalty,13,0.387996
authority,loyalty,14,0.313884
authority,loyalty,15,0.352373
authority,loyalty,16,0.382719
authority,loyalty,17,0.428897
authority,loyalty,18,0.39837
authority,loyalty,19,0.439615
authority,loyalty,20,0.440632
authority,loyalty,21,0.44562
authority,loyalty,22,0.417166
authority,loyalty,23,0.412618
authority,loyalty,24,0.397433
authority,loyalty,25,0.414243
authority,loyalty,26,0.40545
authority,loyalty,27,0.400175
authority,loyalty,28,0.398325
authority,loyalty,29,0.397443
authority,loyalty,30,0.373547
authority,loyalty,31,0.201786
authority,mercy,0,0.818295
authority,mercy,1,0.784403
authority,mercy,2,0.78016
authority,mercy,3,0.638377
authority,mercy,4,0.483727
authority,mercy,5,0.537678
authority,mercy,6,0.461761
authority,mercy,7,0.366449
authority,mercy,8,0.351241
authority,mercy,9,0.34092
authority,mercy,10,0.3005
authority,mercy,11,0.320135
authority,mercy,12,0.209699
authority,mercy,13,0.148028
authority,mercy,14,0.19899
authority,mercy,15,0.180685
authority,mercy,16,0.20884
authority,mercy,17,0.348107
authority,mercy,18,0.342057
authority,mercy,19,0.342549
authority,mercy,20,0.326278
authority,mercy,21,0.352583
authority,mercy,22,0.370214
authority,mercy,23,0.385922
authority,mercy,24,0.415283
authority,mercy,25,0.393755
authority,mercy,26,0.392836
authority,mercy,27,0.407963
authority,mercy,28,0.400435
authority,mercy,29,0.426123
authority,mercy,30,0.373946
authority,mercy,31,0.361526
authority,privacy,0,0.806306
authority,privacy,1,0.745442
authority,privacy,2,0.704565
authority,privacy,3,0.580486
authority,privacy,4,0.538012
authority,privacy,5,0.550771
authority,privacy,6,0.504698
authority,privacy,7,0.478835
authority,privacy,8,0.348354
authority,privacy,9,0.355393
authority,privacy,10,0.256281
authority,privacy,11,0.225146
authority,privacy,12,0.188958
authority,privacy,13,0.179447
authority,privacy,14,0.344906
authority,privacy,15,0.292169
authority,privacy,16,0.292748
authority,privacy,17,0.398127
authority,privacy,18,0.369079
authority,privacy,19,0.371921
authority,privacy,20,0.370043
authority,privacy,21,0.395485
authority,privacy,22,0.374635
authority,privacy,23,0.37003
authority,privacy,24,0.409863
authority,privacy,25,0.390973
authority,privacy,26,0.418012
authority,privacy,27,0.413753
authority,privacy,28,0.431512
authority,privacy,29,0.449184
authority,privacy,30,0.404946
authority,privacy,31,0.44357
authority,sanctity,0,0.787323
authority,sanctity,1,0.727458
authority,sanctity,2,0.665744
authority,sanctity,3,0.571129
authority,sanctity,4,0.521163
authority,sanctity,5,0.528595
authority,sanctity,6,0.439078
authority,sanctity,7,0.382816
authority,sanctity,8,0.310667
authority,sanctity,9,0.322142
authority,sanctity,10,0.263481
authority,sanctity,11,0.238018
authority,sanctity,12,0.174299
authority,sanctity,13,0.211416
authority,sanctity,14,0.276087
authority,sanctity,15,0.291555
authority,sanctity,16,0.288159
authority,sanctity,17,0.342529
authority,sanctity,18,0.311376
authority,sanctity,19,0.32737
authority,sanctity,20,0.354066
authority,sanctity,21,0.368241
authority,sanctity,22,0.349249
authority,sanctity,23,0.336033
authority,sanctity,24,0.319785
authority,sanctity,25,0.343485
authority,sanctity,26,0.354177
authority,sanctity,27,0.325905
authority,sanctity,28,0.328733
authority,sanctity,29,0.328636
authority,sanctity,30,0.290536
authority,sanctity,31,0.268262
authority,tradition,0,0.797016
authority,tradition,1,0.716319
authority,tradition,2,0.684861
authority,tradition,3,0.53377
authority,tradition,4,0.49287
authority,tradition,5,0.482532
authority,tradition,6,0.405101
authority,tradition,7,0.302622
authority,tradition,8,0.3099
authority,tradition,9,0.203563
authority,tradition,10,0.167888
authority,tradition,11,0.162478
authority,tradition,12,0.137996
authority,tradition,13,0.119272
authority,tradition,14,-0.123999
authority,tradition,15,0.07257
authority,tradition,16,0.175322
authority,tradition,17,0.110459
authority,tradition,18,0.095574
authority,tradition,19,0.156645
authority,tradition,20,0.185171
authority,tradition,21,0.188033
authority,tradition,22,0.151347
authority,tradition,23,0.164938
authority,tradition,24,0.088711
authority,tradition,25,0.143029
authority,tradition,26,0.127245
authority,tradition,27,0.092059
authority,tradition,28,0.076734
authority,tradition,29,0.013422
authority,tradition,30,0.040593
authority,tradition,31,-0.002847
autonomy,care,0,0.935014
autonomy,care,1,0.92338
autonomy,care,2,0.896489
autonomy,care,3,0.863475
autonomy,care,4,0.756617
autonomy,care,5,0.763454
autonomy,care,6,0.731008
autonomy,care,7,0.707211
autonomy,care,8,0.669361
autonomy,care,9,0.60306
autonomy,care,10,0.583206
autonomy,care,11,0.548819
autonomy,care,12,0.471409
autonomy,care,13,0.424737
autonomy,care,14,0.397743
autonomy,care,15,0.372265
autonomy,care,16,0.386737
autonomy,care,17,0.328487
autonomy,care,18,0.360654
autonomy,care,19,0.379685
autonomy,care,20,0.355758
autonomy,care,21,0.348253
autonomy,care,22,0.350958
autonomy,care,23,0.345679
autonomy,care,24,0.341961
autonomy,care,25,0.343147
autonomy,care,26,0.343924
autonomy,care,27,0.347747
autonomy,care,28,0.346784
autonomy,care,29,0.334284
autonomy,care,30,0.3306
autonomy,care,31,0.226592
autonomy,collective_welfare,0,0.8845
autonomy,collective_welfare,1,0.863094
autonomy,collective_welfare,2,0.839734
autonomy,collective_welfare,3,0.817352
autonomy,collective_welfare,4,0.708223
autonomy,collective_welfare,5,0.699148
autonomy,collective_welfare,6,0.643473
autonomy,collective_welfare,7,0.6293
autonomy,collective_welfare,8,0.541452
autonomy,collective_welfare,9,0.53784
autonomy,collective_welfare,10,0.460369
autonomy,collective_welfare,11,0.445916
autonomy,collective_welfare,12,0.408429
autonomy,collective_welfare,13,0.427294
autonomy,collective_welfare,14,0.400582
autonomy,collective_welfare,15,0.383609
autonomy,collective_welfare,16,0.401401
autonomy,collective_welfare,17,0.448484
autonomy,collective_welfare,18,0.517867
autonomy,collective_welfare,19,0.537966
autonomy,collective_welfare,20,0.560556
autonomy,collective_welfare,21,0.568084
autonomy,collective_welfare,22,0.559595
autonomy,collective_welfare,23,0.550828
autonomy,collective_welfare,24,0.52363
autonomy,collective_welfare,25,0.530445
autonomy,collective_welfare,26,0.526747
autonomy,collective_welfare,27,0.523898
autonomy,collective_welfare,28,0.504546
autonomy,collective_welfare,29,0.503869
autonomy,collective_welfare,30,0.485508
autonomy,collective_welfare,31,0.409312
autonomy,desert,0,0.897128
autonomy,desert,1,0.889516
autonomy,desert,2,0.876656
autonomy,desert,3,0.845134
autonomy,desert,4,0.749331
autonomy,desert,5,0.75927
autonomy,desert,6,0.74005
autonomy,desert,7,0.716177
autonomy,desert,8,0.639286
autonomy,desert,9,0.521028
autonomy,desert,10,0.514462
autonomy,desert,11,0.519636
autonomy,desert,12,0.474998
autonomy,desert,13,0.523716
autonomy,desert,14,0.417192
autonomy,desert,15,0.533682
autonomy,desert,16,0.54068
autonomy,desert,17,0.544054
autonomy,desert,18,0.594123
autonomy,desert,19,0.598222
autonomy,desert,20,0.609238
autonomy,desert,21,0.623596
autonomy,desert,22,0.613961
autonomy,desert,23,0.612217
autonomy,desert,24,0.606864
autonomy,desert,25,0.601133
autonomy,desert,26,0.598845
autonomy,desert,27,0.584308
autonomy,desert,28,0.55286
autonomy,desert,29,0.521301
autonomy,desert,30,0.525495
autonomy,desert,31,0.513237
autonomy,fairness,0,0.901695
autonomy,fairness,1,0.886892
autonomy,fairness,2,0.876807
autonomy,fairness,3,0.824284
autonomy,fairness,4,0.715479
autonomy,fairness,5,0.731871
autonomy,fairness,6,0.730839
autonomy,fairness,7,0.683017
autonomy,fairness,8,0.585477
autonomy,fairness,9,0.560153
autonomy,fairness,10,0.517239
autonomy,fairness,11,0.498755
autonomy,fairness,12,0.39319
autonomy,fairness,13,0.420073
autonomy,fairness,14,0.172649
autonomy,fairness,15,0.319924
autonomy,fairness,16,0.345915
autonomy,fairness,17,0.321998
autonomy,fairness,18,0.379844
autonomy,fairness,19,0.386996
autonomy,fairness,20,0.387632
autonomy,fairness,21,0.387897
autonomy,fairness,22,0.375839
autonomy,fairness,23,0.38002
autonomy,fairness,24,0.371979
autonomy,fairness,25,0.386723
autonomy,fairness,26,0.395437
autonomy,fairness,27,0.378651
autonomy,fairness,28,0.368491
autonomy,fairness,29,0.351446
autonomy,fairness,30,0.345898
autonomy,fairness,31,0.312691
autonomy,harm_avoidance,0,0.910165
autonomy,harm_avoidance,1,0.881165
autonomy,harm_avoidance,2,0.85864
autonomy,harm_avoidance,3,0.822157
autonomy,harm_avoidance,4,0.747751
autonomy,harm_avoidance,5,0.750234
autonomy,harm_avoidance,6,0.717858
autonomy,harm_avoidance,7,0.64791
autonomy,harm_avoidance,8,0.586788
autonomy,harm_avoidance,9,0.530416
autonomy,harm_avoidance,10,0.470019
autonomy,harm_avoidance,11,0.451292
autonomy,harm_avoidance,12,0.379224
autonomy,harm_avoidance,13,0.382229
autonomy,harm_avoidance,14,0.225199
autonomy,harm_avoidance,15,0.389553
autonomy,harm_avoidance,16,0.425234
autonomy,harm_avoidance,17,0.423168
autonomy,harm_avoidance,18,0.439102
autonomy,harm_avoidance,19,0.463991
autonomy,harm_avoidance,20,0.457949
autonomy,harm_avoidance,21,0.466377
autonomy,harm_avoidance,22,0.461997
autonomy,harm_avoidance,23,0.451225
autonomy,harm_avoidance,24,0.437717
autonomy,harm_avoidance,25,0.427901
autonomy,harm_avoidance,26,0.409941
autonomy,harm_avoidance,27,0.374383
autonomy,harm_avoidance,28,0.361828
autonomy,harm_avoidance,29,0.3143
autonomy,harm_avoidance,30,0.316214
autonomy,harm_avoidance,31,0.352809
autonomy,honesty,0,0.920564
autonomy,honesty,1,0.896838
autonomy,honesty,2,0.874243
autonomy,honesty,3,0.80102
autonomy,honesty,4,0.709669
autonomy,honesty,5,0.734151
autonomy,honesty,6,0.683153
autonomy,honesty,7,0.646143
autonomy,honesty,8,0.579844
autonomy,honesty,9,0.607597
autonomy,honesty,10,0.522885
autonomy,honesty,11,0.457445
autonomy,honesty,12,0.313619
autonomy,honesty,13,0.366359
autonomy,honesty,14,0.137725
autonomy,honesty,15,0.313981
autonomy,honesty,16,0.340626
autonomy,honesty,17,0.339531
autonomy,honesty,18,0.393082
autonomy,honesty,19,0.379289
autonomy,honesty,20,0.350912
autonomy,honesty,21,0.346912
autonomy,honesty,22,0.343897
autonomy,honesty,23,0.353025
autonomy,honesty,24,0.31597
autonomy,honesty,25,0.308456
autonomy,honesty,26,0.282958
autonomy,honesty,27,0.253073
autonomy,honesty,28,0.229538
autonomy,honesty,29,0.173339
autonomy,honesty,30,0.172575
autonomy,honesty,31,0.095939
autonomy,impartiality,0,0.882015
autonomy,impartiality,1,0.862383
autonomy,impartiality,2,0.853347
autonomy,impartiality,3,0.801353
autonomy,impartiality,4,0.67983
autonomy,impartiality,5,0.671431
autonomy,impartiality,6,0.650264
autonomy,impartiality,7,0.610256
autonomy,impartiality,8,0.543129
autonomy,impartiality,9,0.503856
autonomy,impartiality,10,0.466863
autonomy,impartiality,11,0.44143
autonomy,impartiality,12,0.436287
autonomy,impartiality,13,0.384341
autonomy,impartiality,14,0.285112
autonomy,impartiality,15,0.355521
autonomy,impartiality,16,0.359238
autonomy,impartiality,17,0.264933
autonomy,impartiality,18,0.20834
autonomy,impartiality,19,0.211172
autonomy,impartiality,20,0.187605
autonomy,impartiality,21,0.202207
autonomy,impartiality,22,0.200154
autonomy,impartiality,23,0.223432
autonomy,impartiality,24,0.182203
autonomy,impartiality,25,0.198976
autonomy,impartiality,26,0.176141
autonomy,impartiality,27,0.158858
autonomy,impartiality,28,0.155682
autonomy,impartiality,29,0.082841
autonomy,impartiality,30,0.125528
autonomy,impartiality,31,0.166324
autonomy,integrity,0,0.835021
autonomy,integrity,1,0.752733
autonomy,integrity,2,0.709712
autonomy,integrity,3,0.667963
autonomy,integrity,4,0.602188
autonomy,integrity,5,0.605906
autonomy,integrity,6,0.621022
autonomy,integrity,7,0.579628
autonomy,integrity,8,0.520746
autonomy,integrity,9,0.436352
autonomy,integrity,10,0.442514
autonomy,integrity,11,0.436032
autonomy,integrity,12,0.473341
autonomy,integrity,13,0.484774
autonomy,integrity,14,0.219011
autonomy,integrity,15,0.280816
autonomy,integrity,16,0.288294
autonomy,integrity,17,0.261285
autonomy,integrity,18,0.291058
autonomy,integrity,19,0.282583
autonomy,integrity,20,0.253354
autonomy,integrity,21,0.260985
autonomy,integrity,22,0.258726
autonomy,integrity,23,0.250897
autonomy,integrity,24,0.247189
autonomy,integrity,25,0.233754
autonomy,integrity,26,0.224346
autonomy,integrity,27,0.206801
autonomy,integrity,28,0.20421
autonomy,integrity,29,0.179013
autonomy,integrity,30,0.200715
autonomy,integrity,31,0.22859
autonomy,kindness,0,0.914512
autonomy,kindness,1,0.911443
autonomy,kindness,2,0.882335
autonomy,kindness,3,0.835652
autonomy,kindness,4,0.70522
autonomy,kindness,5,0.719223
autonomy,kindness,6,0.715336
autonomy,kindness,7,0.680686
autonomy,kindness,8,0.663011
autonomy,kindness,9,0.635122
autonomy,kindness,10,0.599161
autonomy,kindness,11,0.543857
autonomy,kindness,12,0.497108
autonomy,kindness,13,0.474431
autonomy,kindness,14,0.312014
autonomy,kindness,15,0.392385
autonomy,kindness,16,0.404911
autonomy,kindness,17,0.319004
autonomy,kindness,18,0.328043
autonomy,kindness,19,0.321245
autonomy,kindness,20,0.318352
autonomy,kindness,21,0.303398
autonomy,kindness,22,0.288943
autonomy,kindness,23,0.271326
autonomy,kindness,24,0.263146
autonomy,kindness,25,0.263832
autonomy,kindness,26,0.237791
autonomy,kindness,27,0.241102
autonomy,kindness,28,0.22194
autonomy,kindness,29,0.182936
autonomy,kindness,30,0.189452
autonomy,kindness,31,0.17956
autonomy,loyalty,0,0.908922
autonomy,loyalty,1,0.894525
autonomy,loyalty,2,0.875352
autonomy,loyalty,3,0.810165
autonomy,loyalty,4,0.699096
autonomy,loyalty,5,0.733176
autonomy,loyalty,6,0.711018
autonomy,loyalty,7,0.680299
autonomy,loyalty,8,0.604533
autonomy,loyalty,9,0.589563
autonomy,loyalty,10,0.51928
autonomy,loyalty,11,0.46573
autonomy,loyalty,12,0.329448
autonomy,loyalty,13,0.294424
autonomy,loyalty,14,0.226863
autonomy,loyalty,15,0.349507
autonomy,loyalty,16,0.404081
autonomy,loyalty,17,0.410415
autonomy,loyalty,18,0.421718
autonomy,loyalty,19,0.421455
autonomy,loyalty,20,0.448526
autonomy,loyalty,21,0.46173
autonomy,loyalty,22,0.457117
autonomy,loyalty,23,0.446858
autonomy,loyalty,24,0.42655
autonomy,loyalty,25,0.428767
autonomy,loyalty,26,0.40006
autonomy,loyalty,27,0.370534
autonomy,loyalty,28,0.350187
autonomy,loyalty,29,0.305029
autonomy,loyalty,30,0.298132
autonomy,loyalty,31,0.350413
autonomy,mercy,0,0.927421
autonomy,mercy,1,0.871999
autonomy,mercy,2,0.807589
autonomy,mercy,3,0.7241
autonomy,mercy,4,0.608954
autonomy,mercy,5,0.679934
autonomy,mercy,6,0.672152
autonomy,mercy,7,0.55238
autonomy,mercy,8,0.561988
autonomy,mercy,9,0.555879
autonomy,mercy,10,0.584696
autonomy,mercy,11,0.550889
autonomy,mercy,12,0.535698
autonomy,mercy,13,0.400188
autonomy,mercy,14,0.013479
autonomy,mercy,15,0.132118
autonomy,mercy,16,0.184602
autonomy,mercy,17,0.073329
autonomy,mercy,18,0.032367
autonomy,mercy,19,0.018508
autonomy,mercy,20,0.019041
autonomy,mercy,21,0.005464
autonomy,mercy,22,-0.027872
autonomy,mercy,23,0.015559
autonomy,mercy,24,-0.02294
autonomy,mercy,25,-0.002094
autonomy,mercy,26,-0.01782
autonomy,mercy,27,-0.022618
autonomy,mercy,28,-0.046819
autonomy,mercy,29,-0.095579
autonomy,mercy,30,-0.048154
autonomy,mercy,31,-0.073503
autonomy,privacy,0,0.901032
autonomy,privacy,1,0.863137
autonomy,privacy,2,0.813044
autonomy,privacy,3,0.791734
autonomy,privacy,4,0.680648
autonomy,privacy,5,0.66133
autonomy,privacy,6,0.638087
autonomy,privacy,7,0.593677
autonomy,privacy,8,0.544506
autonomy,privacy,9,0.533613
autonomy,privacy,10,0.476862
autonomy,privacy,11,0.44146
autonomy,privacy,12,0.388055
autonomy,privacy,13,0.380419
autonomy,privacy,14,0.063824
autonomy,privacy,15,0.24922
autonomy,privacy,16,0.281662
autonomy,privacy,17,0.223291
autonomy,privacy,18,0.268358
autonomy,privacy,19,0.264388
autonomy,privacy,20,0.236835
autonomy,privacy,21,0.234953
autonomy,privacy,22,0.21573
autonomy,privacy,23,0.231746
autonomy,privacy,24,0.181127
autonomy,privacy,25,0.189803
autonomy,privacy,26,0.167113
autonomy,privacy,27,0.131455
autonomy,privacy,28,0.102907
autonomy,privacy,29,0.026992
autonomy,privacy,30,0.090949
autonomy,privacy,31,0.091615
autonomy,sanctity,0,0.893602
autonomy,sanctity,1,0.873826
autonomy,sanctity,2,0.869058
autonomy,sanctity,3,0.840436
autonomy,sanctity,4,0.705461
autonomy,sanctity,5,0.726303
autonomy,sanctity,6,0.683465
autonomy,sanctity,7,0.646194
autonomy,sanctity,8,0.512513
autonomy,sanctity,9,0.530927
autonomy,sanctity,10,0.460923
autonomy,sanctity,11,0.398882
autonomy,sanctity,12,0.378302
autonomy,sanctity,13,0.389569
autonomy,sanctity,14,0.244338
autonomy,sanctity,15,0.394049
autonomy,sanctity,16,0.405587
autonomy,sanctity,17,0.417159
autonomy,sanctity,18,0.440351
autonomy,sanctity,19,0.440381
autonomy,sanctity,20,0.440715
autonomy,sanctity,21,0.443323
autonomy,sanctity,22,0.43227
autonomy,sanctity,23,0.421323
autonomy,sanctity,24,0.413268
autonomy,sanctity,25,0.419939
autonomy,sanctity,26,0.418251
autonomy,sanctity,27,0.398263
autonomy,sanctity,28,0.376651
autonomy,sanctity,29,0.323999
autonomy,sanctity,30,0.335855
autonomy,sanctity,31,0.334727
autonomy,tradition,0,0.89958
autonomy,tradition,1,0.867277
autonomy,tradition,2,0.841844
autonomy,tradition,3,0.807848
autonomy,tradition,4,0.702445
autonomy,tradition,5,0.693959
