type_id,value,mean_cosine,z_within_value,is_own_pole,flagged
type9_harm_vs_integrity,collective_welfare,0.114756,0.560,False,False
type8_harm_vs_privacy,care,0.145277,0.558,False,False
type5_tradition_vs_autonomy,authority,0.105078,0.552,False,False
type10_privacy_vs_care,autonomy,0.129187,0.547,False,False
type3_mercy_vs_desert,mercy,0.137577,0.513,True,False
type9_harm_vs_integrity,care,0.142040,0.493,False,False
type12_autonomy_vs_collective,authority,0.101660,0.476,False,False
type8_harm_vs_privacy,tradition,0.138652,0.414,False,False
type7_harm_vs_autonomy,collective_welfare,0.107704,0.412,False,False
type1_honesty_vs_care,desert,0.105211,0.398,False,False
type10_privacy_vs_care,tradition,0.136334,0.370,False,False
type11_integrity_vs_mercy,sanctity,0.042422,0.339,False,False
type1_honesty_vs_care,mercy,0.125916,0.338,False,False
type1_honesty_vs_care,harm_avoidance,0.078708,0.319,False,False
type6_authority_vs_autonomy,kindness,0.119309,0.312,False,False
type11_integrity_vs_mercy,desert,0.100644,0.292,False,False
type5_tradition_vs_autonomy,integrity,0.110350,0.279,False,False
type9_harm_vs_integrity,desert,0.099694,0.269,False,False
type8_harm_vs_privacy,collective_welfare,0.100312,0.256,False,False
type6_authority_vs_autonomy,authority,0.091554,0.251,True,False
type9_harm_vs_integrity,kindness,0.115526,0.230,False,False
type8_harm_vs_privacy,fairness,0.097763,0.220,False,False
type12_autonomy_vs_collective,integrity,0.103435,0.184,False,False
type12_autonomy_vs_collective,mercy,0.115202,0.178,False,False
type5_tradition_vs_autonomy,privacy,0.075343,0.165,False,False
type12_autonomy_vs_collective,kindness,0.112408,0.163,False,False
type9_harm_vs_integrity,impartiality,0.072187,0.154,False,False
type1_honesty_vs_care,impartiality,0.071893,0.146,False,False
type11_integrity_vs_mercy,honesty,0.070594,0.142,False,False
type6_authority_vs_autonomy,impartiality,0.071750,0.142,False,False
type8_harm_vs_privacy,authority,0.086180,0.131,False,False
type2_privacy_vs_care,fairness,0.091072,0.115,False,False
type8_harm_vs_privacy,integrity,0.095479,0.075,False,False
type3_mercy_vs_desert,loyalty,0.111517,0.068,False,False
type6_authority_vs_autonomy,autonomy,0.100632,-0.027,True,False
type6_authority_vs_autonomy,honesty,0.062761,-0.031,False,False
type5_tradition_vs_autonomy,honesty,0.061878,-0.050,False,False
type4_loyalty_vs_honesty,authority,0.077909,-0.053,False,False
type5_tradition_vs_autonomy,kindness,0.102371,-0.055,False,False
type4_loyalty_vs_honesty,integrity,0.084556,-0.075,False,False
type8_harm_vs_privacy,impartiality,0.064140,-0.076,False,False
type12_autonomy_vs_collective,honesty,0.060635,-0.078,False,False
type1_honesty_vs_care,loyalty,0.102995,-0.096,False,False
type4_loyalty_vs_honesty,mercy,0.095236,-0.121,False,False
type9_harm_vs_integrity,tradition,0.110143,-0.133,False,False
type3_mercy_vs_desert,authority,0.073920,-0.142,False,False
type4_loyalty_vs_honesty,harm_avoidance,0.062650,-0.156,False,False
type3_mercy_vs_desert,tradition,0.108676,-0.161,False,False
type1_honesty_vs_care,autonomy,0.092760,-0.186,False,False
type12_autonomy_vs_collective,privacy,0.062668,-0.186,False,False
type5_tradition_vs_autonomy,care,0.107863,-0.195,False,False
type7_harm_vs_autonomy,care,0.107845,-0.196,False,False
type5_tradition_vs_autonomy,harm_avoidance,0.060146,-0.230,False,False
type9_harm_vs_integrity,honesty,0.053188,-0.242,False,False
type3_mercy_vs_desert,sanctity,0.019535,-0.260,False,False
type3_mercy_vs_desert,care,0.104282,-0.267,False,False
type9_harm_vs_integrity,integrity,0.069405,-0.283,True,False
type3_mercy_vs_desert,integrity,0.069356,-0.284,False,False
type5_tradition_vs_autonomy,fairness,0.065479,-0.290,False,False
type5_tradition_vs_autonomy,mercy,0.083130,-0.302,False,False
type9_harm_vs_integrity,privacy,0.058300,-0.307,False,False
type2_privacy_vs_care,harm_avoidance,0.057317,-0.314,False,False
type5_tradition_vs_autonomy,collective_welfare,0.072565,-0.328,False,False
type5_tradition_vs_autonomy,desert,0.073915,-0.331,False,False
type11_integrity_vs_mercy,loyalty,0.090139,-0.343,False,False
type4_loyalty_vs_honesty,kindness,0.088847,-0.348,False,False
type9_harm_vs_integrity,loyalty,0.089363,-0.358,False,False
type7_harm_vs_autonomy,desert,0.072658,-0.360,False,False
type2_privacy_vs_care,mercy,0.078300,-0.374,False,False
type3_mercy_vs_desert,fairness,0.059780,-0.380,False,False
type7_harm_vs_autonomy,sanctity,0.014915,-0.381,False,False
type11_integrity_vs_mercy,care,0.098290,-0.388,False,False
type6_authority_vs_autonomy,loyalty,0.086069,-0.421,False,False
type11_integrity_vs_mercy,impartiality,0.052040,-0.422,False,False
type8_harm_vs_privacy,desert,0.069600,-0.432,False,False
type2_privacy_vs_care,loyalty,0.084714,-0.447,False,False
type9_harm_vs_integrity,mercy,0.072779,-0.457,False,False
type7_harm_vs_autonomy,impartiality,0.050131,-0.476,False,False
type9_harm_vs_integrity,harm_avoidance,0.051331,-0.491,True,False
type6_authority_vs_autonomy,integrity,0.053975,-0.496,False,False
type2_privacy_vs_care,autonomy,0.076189,-0.519,False,False
type9_harm_vs_integrity,authority,0.056708,-0.525,False,False
type7_harm_vs_autonomy,privacy,0.049619,-0.548,False,False
type9_harm_vs_integrity,fairness,0.047863,-0.569,False,False
type4_loyalty_vs_honesty,desert,0.063490,-0.574,False,False
type4_loyalty_vs_honesty,loyalty,0.077921,-0.578,True,False
type8_harm_vs_privacy,kindness,0.077978,-0.584,False,False
type8_harm_vs_privacy,honesty,0.037428,-0.590,False,False
type4_loyalty_vs_honesty,autonomy,0.070881,-0.626,False,False
type8_harm_vs_privacy,mercy,0.060703,-0.637,False,False
type3_mercy_vs_desert,privacy,0.046218,-0.642,False,False
type3_mercy_vs_desert,harm_avoidance,0.045186,-0.673,False,False
type7_harm_vs_autonomy,integrity,0.039017,-0.701,False,False
type4_loyalty_vs_honesty,tradition,0.079763,-0.716,False,False
type1_honesty_vs_care,sanctity,0.001148,-0.742,False,False
type1_honesty_vs_care,fairness,0.036618,-0.747,False,False
type2_privacy_vs_care,kindness,0.069998,-0.757,False,False
type6_authority_vs_autonomy,fairness,0.035386,-0.766,False,False
type6_authority_vs_autonomy,privacy,0.041126,-0.783,False,False
type8_harm_vs_privacy,autonomy,0.061059,-0.823,False,False
type4_loyalty_vs_honesty,fairness,0.031575,-0.826,False,False
type4_loyalty_vs_honesty,impartiality,0.037419,-0.840,False,False
type6_authority_vs_autonomy,sanctity,-0.002850,-0.847,False,False
type7_harm_vs_autonomy,honesty,0.024322,-0.879,False,False
type1_honesty_vs_care,privacy,0.036368,-0.915,False,False
type7_harm_vs_autonomy,loyalty,0.057876,-0.963,False,False
type7_harm_vs_autonomy,tradition,0.066273,-0.975,False,False
type1_honesty_vs_care,collective_welfare,0.041314,-0.986,False,False
type2_privacy_vs_care,honesty,0.019128,-0.994,False,False
type2_privacy_vs_care,care,0.068137,-0.995,True,False
type9_harm_vs_integrity,autonomy,0.051667,-1.012,False,False
type1_honesty_vs_care,authority,0.033605,-1.039,False,False
type2_privacy_vs_care,integrity,0.012846,-1.061,False,False
type3_mercy_vs_desert,collective_welfare,0.036419,-1.089,False,False
type1_honesty_vs_care,care,0.063027,-1.098,True,False
type3_mercy_vs_desert,impartiality,0.028373,-1.099,False,False
type4_loyalty_vs_honesty,sanctity,-0.012525,-1.100,False,False
type4_loyalty_vs_honesty,collective_welfare,0.034809,-1.123,False,False
type7_harm_vs_autonomy,kindness,0.052309,-1.140,False,False
type6_authority_vs_autonomy,mercy,0.026681,-1.147,False,False
type7_harm_vs_autonomy,fairness,0.006874,-1.217,False,False
type8_harm_vs_privacy,loyalty,0.042403,-1.260,False,False
type1_honesty_vs_care,integrity,-0.003201,-1.281,False,False
type7_harm_vs_autonomy,authority,0.019196,-1.360,False,False
type3_mercy_vs_desert,honesty,0.001059,-1.393,False,False
type7_harm_vs_autonomy,harm_avoidance,0.020667,-1.399,True,False
type7_harm_vs_autonomy,mercy,0.006906,-1.442,False,False
type2_privacy_vs_care,authority,0.014631,-1.461,False,False
type1_honesty_vs_care,tradition,0.040595,-1.467,False,False
type2_privacy_vs_care,tradition,0.039860,-1.481,False,False
type6_authority_vs_autonomy,harm_avoidance,0.016665,-1.517,False,False
type2_privacy_vs_care,privacy,0.014107,-1.532,True,False
type2_privacy_vs_care,desert,0.021415,-1.554,False,False
type2_privacy_vs_care,impartiality,0.012282,-1.559,False,False
type3_mercy_vs_desert,desert,0.020782,-1.568,True,False
type2_privacy_vs_care,collective_welfare,0.009930,-1.646,False,False
type3_mercy_vs_desert,kindness,0.027777,-1.672,False,False
type4_loyalty_vs_honesty,care,0.031218,-1.738,False,False
type7_harm_vs_autonomy,autonomy,0.013594,-1.778,True,False
type2_privacy_vs_care,sanctity,-0.039068,-1.796,False,False
